date,avg_amt
2020-12-15,334221.4318318308
2020-12-16,179758.6654658386
2020-12-17,217828.62184132045
2020-12-18,249768.45761174534
2020-12-19,226928.62360620685
2020-12-20,348075.9817505482
2020-12-21,170146.17566722693
2020-12-22,385424.70354052883
2020-12-23,156006.3356558671
2020-12-24,196843.73770035797
2020-12-25,278839.23246206634
2020-12-26,322527.51324326254
2020-12-27,178515.32098612093
2020-12-28,265601.4234683521
2020-12-29,234003.78647634404
2020-12-30,191041.77810918077
2020-12-31,220152.59848535966
2021-01-01,380210.8711954968
2021-01-02,270476.36377813993
2021-01-03,189711.99786000833
2021-01-04,232873.8186548829
2021-01-05,196476.17920016995
2021-01-06,1107444.9374575163
2021-01-07,218795.65611772914
2021-01-08,142405.0333998202
2021-01-09,209146.86596010363
2021-01-10,460631.09613621153
2021-01-11,155248.5227426475
2021-01-12,169393.3946189141
2021-01-13,310764.4502976477
2021-01-14,276645.3938024502
2021-01-15,122776.13345340893
2021-01-16,239001.37645838808
2021-01-17,183929.89678313836
2021-01-18,77114.12859232395
2021-01-19,98255.24693724677
2021-01-20,149249.9928108122
2021-01-21,98905.28206535512
2021-01-22,571399.9347954959
2021-01-23,98393.8597975509
2021-01-24,214442.79474553757
2021-01-25,57047.34904501604
2021-01-26,66857.52238313385
2021-01-27,144331.20289608007
2021-01-28,94567.37023675945
2021-01-29,108575.57797510554
2021-01-30,60104.00506645252
2021-01-31,70050.4034045601
2021-02-01,63756.50493696514
2021-02-02,54459.97408428449
2021-02-03,421855.1397340412
2021-02-04,84033.63147779765
2021-02-05,54919.678738941206
2021-02-06,52447.439503081034
2021-02-07,47728.7456476469
2021-02-08,46229.39664888737
2021-02-09,52376.46697765718
2021-02-10,58094.18049552631
2021-02-11,47744.05269354065
2021-02-12,62660.327792609925
2021-02-13,55678.0545657634
2021-02-16,32419.108193092572
2021-02-17,46494.57877964255
2021-02-18,30034.5501028105
2021-02-19,31065.44297982319
2021-02-20,32805.49640636116
2021-02-21,31815.892858186828
2021-02-22,19471.572215603683
2021-02-23,19518.003328318468
2021-02-24,27100.6785989086
2021-02-25,34500.52068348678
2021-02-26,44975.77151329352
2021-02-27,30527.87053770163
2021-02-28,21805.278632328256
2021-03-01,17070.24139636242
2021-03-02,22952.230649337875
2021-03-03,24569.523590802473
2021-03-04,37893.19000845184
2021-03-05,24123.136759673063
2021-03-06,20375.673025205135
2021-03-07,18246.51258276165
2021-03-08,43129.12129303047
2021-03-09,20680.133465096136
2021-03-10,13353.539023336745
2021-03-11,15000.067745375887
2021-03-12,14856.107863353842
2021-03-13,20614.06092087972
2021-03-14,14078.311763028409
2021-03-15,7081.29814894785
2021-03-16,9578.607360009286
2021-03-17,11425.971195745804
2021-03-18,9631.196632302326
